Testing lock-free map
Iert heavy
1,5.429420667s,215
2,3.87817801s,153
3,3.441069329s,136
4,2.974786794s,117
5,3.103164487s,123
6,3.299924781s,130
7,2.641287975s,104
8,2.653951665s,104
9,2.915444867s,115
10,2.595107839s,102
11,2.902104373s,114
12,2.847809675s,112
13,2.92052044s,115
14,2.5246017s,99
15,2.114875796s,83
16,2.918944534s,115
17,2.721645325s,107
18,2.605830271s,103
19,2.463926602s,97
20,2.380325066s,94
21,2.27510681s,89
22,2.169565187s,85
23,2.100079363s,82
24,2.136769751s,84
25,2.048163932s,80
26,1.7619084s,69
27,1.898998175s,74
28,1.765461052s,69
29,1.588193375s,62
30,1.864023753s,73
31,1.694586351s,66
32,1.60343278s,62
33,1.685948665s,66
34,1.751681371s,68
35,1.499204671s,58
36,1.603112084s,62
37,1.690712987s,66
38,1.540076369s,60
39,1.449477258s,56
40,1.549438836s,60
41,1.585562408s,62
42,1.512760605s,59
43,1.364677143s,53
44,1.489946752s,58
45,1.440067565s,56
46,1.441813476s,56
47,1.442590652s,56
48,1.491436475s,58
49,1.410879334s,55
50,1.40076223s,54
51,1.193959754s,46
52,1.233002941s,48
53,1.182555462s,46
54,1.293443122s,50
55,1.315184159s,51
56,1.275358561s,49
57,1.311708471s,51
58,1.177579723s,46
59,1.172161153s,45
60,1.174529119s,45
61,1.256916574s,49
62,1.178505921s,46
63,1.197560522s,46
64,1.121726463s,43
65,2.687788252s,106
66,1.309338361s,51
67,1.362843319s,53
68,1.232928284s,48
69,1.236268949s,48
70,1.168395753s,45
71,1.263513871s,49
72,1.023068757s,39
73,1.170462267s,45
74,1.168886332s,45
75,1.054385667s,41
76,1.174356834s,45
77,1.164414889s,45
78,1.148292771s,44
79,1.080978098s,42
80,1.269706123s,49
81,1.008479445s,39
82,1.050827256s,41
83,1.124758812s,43
84,1.034191804s,40
85,1.074686135s,41
86,1.122547844s,43
87,1.063788676s,41
88,1.012367791s,39
89,1.070837601s,41
90,1.070406726s,41
91,1.06083305s,41
92,1.021714441s,39
93,1.019623903s,39
94,1.031975933s,40
95,1.051688492s,41
96,1.027734027s,40
97,1.069447749s,41
98,1.000506929s,39
99,1.003890322s,39
100,986.880291ms,39
101,1.055673523s,41
102,1.031390498s,40
103,1.047110092s,40
104,1.000485713s,39
105,1.050858688s,41
106,1.039566259s,40
107,1.055343371s,41
108,998.54797ms,39
109,1.076733278s,42
110,993.77401ms,39
111,1.002951437s,39
112,1.010759879s,39
113,1.029853277s,40
114,999.246672ms,39
115,975.958855ms,38
116,1.023135609s,39
117,1.010149885s,39
118,1.036109539s,40
119,999.825792ms,39
120,1.007490911s,39
121,985.611458ms,39
122,970.922248ms,38
123,1.015265924s,39
124,969.30141ms,38
125,981.915242ms,39
126,967.534448ms,38
127,987.107341ms,39
128,991.882572ms,39
Read heavy
1,4.181042983s,165
2,1.716800922s,67
3,1.279317384s,50
4,975.981088ms,38
5,980.422555ms,38
6,837.633419ms,33
7,634.788839ms,25
8,757.759706ms,30
9,586.471905ms,23
10,615.141072ms,24
11,616.278356ms,24
12,549.497892ms,21
13,548.246866ms,21
14,524.83484ms,20
15,528.970168ms,21
16,457.894844ms,18
17,475.142714ms,18
18,437.352158ms,17
19,450.395661ms,17
20,408.54386ms,16
21,414.868706ms,16
22,397.205734ms,15
23,395.060064ms,15
24,376.714534ms,14
25,389.600168ms,15
26,359.625939ms,14
27,377.017886ms,14
28,350.239892ms,13
29,346.679455ms,13
30,357.764496ms,14
31,346.425816ms,13
32,338.834437ms,13
33,342.2215ms,13
34,327.71081ms,13
35,336.195938ms,13
36,315.328246ms,12
37,324.756204ms,12
38,321.16235ms,12
39,325.60213ms,12
40,308.908633ms,12
41,311.327023ms,12
42,290.423465ms,11
43,298.355336ms,11
44,306.17837ms,12
45,289.512993ms,11
46,299.830726ms,11
47,295.574009ms,11
48,307.663704ms,12
49,290.225077ms,11
50,285.909367ms,11
51,294.413448ms,11
52,289.59179ms,11
53,292.534456ms,11
54,283.29314ms,11
55,289.179172ms,11
56,268.315234ms,10
57,273.640192ms,10
58,297.975927ms,11
59,282.312834ms,11
60,281.749646ms,11
61,284.618467ms,11
62,288.27677ms,11
63,271.074522ms,10
64,1.437733606s,56
65,264.508629ms,10
66,277.963214ms,11
67,271.433946ms,10
68,277.81585ms,11
69,267.04553ms,10
70,275.625485ms,10
71,275.162906ms,10
72,269.844048ms,10
73,264.817361ms,10
74,255.056642ms,10
75,276.734649ms,10
76,288.813438ms,11
77,279.424592ms,11
78,284.244293ms,11
79,265.749708ms,10
80,267.77827ms,10
81,280.91038ms,11
82,271.90189ms,10
83,278.439528ms,11
84,255.612429ms,10
85,271.311347ms,10
86,275.635419ms,10
87,283.121981ms,11
88,270.327115ms,10
89,272.529789ms,10
90,266.839705ms,10
91,268.241308ms,10
92,313.303071ms,12
93,275.187637ms,10
94,264.921101ms,10
95,275.790707ms,10
96,286.792421ms,11
97,293.325626ms,11
98,279.244265ms,11
99,286.366659ms,11
100,283.302789ms,11
101,276.376806ms,10
102,288.043371ms,11
103,304.194808ms,12
104,295.008643ms,11
105,280.794562ms,11
106,323.697755ms,12
107,296.470196ms,11
108,283.358563ms,11
109,273.867945ms,10
110,284.961054ms,11
111,284.522763ms,11
112,298.893866ms,11
113,287.703855ms,11
114,302.496663ms,12
115,314.652537ms,12
116,336.852479ms,13
117,307.470038ms,12
118,290.459474ms,11
119,292.207576ms,11
120,323.735178ms,12
121,308.998183ms,12
122,313.986964ms,12
123,327.441702ms,13
124,306.737564ms,12
125,296.253891ms,11
126,312.785857ms,12
127,299.864185ms,11
128,1.604804783s,63
Uniform
1,4.415013612s,174
2,3.247499416s,128
3,3.29725677s,130
4,2.491511427s,98
5,2.141240821s,84
6,1.907153517s,75
7,2.134491588s,84
8,1.848352352s,72
9,1.729008809s,67
10,1.853384374s,72
11,1.696684186s,66
12,1.864164287s,73
13,2.018290688s,79
14,1.786834766s,70
15,1.821037202s,71
16,1.778443562s,69
17,1.752504798s,68
18,1.724019299s,67
19,1.577532016s,61
20,1.632878417s,64
21,1.506904555s,59
22,1.569807789s,61
23,1.654479611s,65
24,1.334542397s,52
25,1.37693088s,53
26,1.292861967s,50
27,1.410428855s,55
28,1.401844821s,54
29,1.325287237s,51
30,1.291556268s,50
31,1.276407393s,49
32,1.245818277s,48
33,1.208849113s,47
34,1.168796613s,45
35,1.183894281s,46
36,1.206773736s,47
37,1.120128975s,43
38,1.09651185s,42
39,1.010382181s,39
40,1.227071222s,48
41,1.096331633s,42
42,1.166241145s,45
43,1.14894115s,44
44,1.065409317s,41
45,1.090290281s,42
46,1.099025887s,42
47,1.059836637s,41
48,1.152079373s,45
49,989.689192ms,39
50,1.051401069s,41
51,987.261431ms,39
52,1.087100823s,42
53,1.024054215s,39
54,1.076648848s,42
55,997.790081ms,39
56,1.015297495s,39
57,1.000071576s,39
58,984.36661ms,39
59,956.197723ms,37
60,970.874248ms,38
61,938.585022ms,37
62,976.481289ms,38
63,2.317970787s,91
64,1.005939483s,39
65,1.048287731s,40
66,965.498272ms,38
67,845.752157ms,33
68,898.605641ms,35
69,868.041317ms,34
70,936.324235ms,37
71,918.530042ms,36
72,862.735637ms,34
73,907.95034ms,36
74,967.186771ms,38
75,930.680162ms,36
76,939.514336ms,37
77,866.723779ms,34
78,923.683578ms,36
79,936.833942ms,37
80,897.678723ms,35
81,825.354865ms,32
82,849.190212ms,33
83,853.136788ms,33
84,878.48039ms,34
85,842.221878ms,33
86,838.187942ms,33
87,892.284065ms,35
88,882.311371ms,35
89,857.336624ms,34
90,908.187573ms,36
91,868.726804ms,34
92,850.438364ms,33
93,862.45403ms,34
94,853.946949ms,33
95,847.378326ms,33
96,836.71682ms,33
97,861.990774ms,34
98,860.368453ms,34
99,859.593263ms,34
100,854.231928ms,33
101,851.389958ms,33
102,809.959801ms,32
103,860.011089ms,34
104,836.016703ms,33
105,830.721342ms,33
106,824.2838ms,32
107,859.853515ms,34
108,834.229599ms,33
109,828.018355ms,32
110,849.650015ms,33
111,816.441257ms,32
112,854.563637ms,33
113,854.348319ms,33
114,856.494328ms,34
115,813.317032ms,32
116,842.196053ms,33
117,814.962986ms,32
118,803.691008ms,31
119,815.041772ms,32
120,840.287808ms,33
121,820.311492ms,32
122,802.898797ms,31
123,831.111845ms,33
124,829.752843ms,32
125,817.219449ms,32
126,829.938002ms,32
127,2.161367515s,85
128,815.583357ms,32
