Iert heavy
1,5.509201649s,218
2,3.837309797s,152
3,2.904145319s,114
4,2.92456105s,115
5,2.974883568s,117
6,2.231662985s,88
7,2.813653735s,111
8,3.082976269s,122
9,2.479749725s,98
10,2.6796831s,106
11,2.66546929s,105
12,2.644654317s,104
13,2.407318438s,95
14,2.843182994s,112
15,1.437677086s,56
16,2.29320422s,90
17,2.070852958s,81
18,2.259705943s,89
19,2.452133309s,96
20,2.287809382s,90
21,1.964172314s,77
22,1.913516991s,75
23,1.800872465s,70
24,2.020507035s,79
25,1.842575519s,72
26,1.811018603s,71
27,1.82496913s,71
28,1.672632025s,65
29,1.653440295s,64
30,1.647978511s,64
31,1.602926828s,62
32,1.537299419s,60
33,1.415756396s,55
34,1.38632904s,54
35,1.449927577s,56
36,1.377646953s,54
37,1.453296929s,57
38,1.37628998s,53
39,1.458239917s,57
40,1.358837023s,53
41,1.303641441s,51
42,1.317562677s,51
43,1.295848681s,50
44,1.22344472s,47
45,1.334569807s,52
46,1.178070631s,46
47,1.273766892s,49
48,1.2876194s,50
49,1.171962894s,45
50,1.095950366s,42
51,1.200370596s,46
52,1.212593323s,47
53,1.007608907s,39
54,1.169372505s,45
55,1.269383343s,49
56,992.687094ms,39
57,1.203440047s,47
58,1.039210214s,40
59,1.028610637s,40
60,981.545542ms,39
61,1.08262326s,42
62,1.087143953s,42
63,1.059011507s,41
64,1.004597355s,39
65,1.193392423s,46
66,975.552595ms,38
67,945.904903ms,37
68,1.06189123s,41
69,1.022304701s,39
70,1.017523597s,39
71,990.280338ms,39
72,955.101794ms,37
73,936.126324ms,37
74,1.034508799s,40
75,932.508762ms,37
76,933.020482ms,37
77,850.842036ms,33
78,941.247988ms,37
79,854.558784ms,33
80,904.598202ms,35
81,983.06698ms,39
82,918.913319ms,36
83,899.090123ms,35
84,905.805504ms,35
85,870.617304ms,34
86,927.354724ms,36
87,882.487266ms,35
88,950.284824ms,37
89,917.490486ms,36
90,852.550537ms,33
91,832.296049ms,33
92,899.154216ms,35
93,912.896447ms,36
94,864.892692ms,34
95,912.917962ms,36
96,906.733325ms,36
97,889.674599ms,35
98,884.411258ms,35
99,874.089707ms,34
100,854.730586ms,33
101,862.451862ms,34
102,835.198708ms,33
103,903.253658ms,35
104,852.728533ms,33
105,865.198958ms,34
106,810.817427ms,32
107,862.200242ms,34
108,880.905475ms,35
109,814.463128ms,32
110,853.07523ms,33
111,858.977729ms,34
112,840.410411ms,33
113,831.730985ms,33
114,839.793795ms,33
115,836.848732ms,33
116,836.373545ms,33
117,822.708835ms,32
118,800.10383ms,31
119,816.438426ms,32
120,825.608251ms,32
121,822.281269ms,32
122,811.193746ms,32
123,826.452304ms,32
124,800.014487ms,31
125,789.862035ms,31
126,805.939196ms,32
127,805.213667ms,31
128,837.500147ms,33
Read heavy
1,3.963825915s,157
2,1.823269769s,71
3,1.249340208s,48
4,1.008352386s,39
5,848.250668ms,33
6,750.854307ms,29
7,656.933595ms,26
8,577.259597ms,22
9,566.888576ms,22
10,560.452869ms,22
11,503.432272ms,20
12,472.730737ms,18
13,436.972683ms,17
14,447.503704ms,17
15,420.66234ms,16
16,401.31666ms,15
17,386.599972ms,15
18,358.183992ms,14
19,349.268864ms,13
20,329.866006ms,13
21,326.988815ms,12
22,317.86242ms,12
23,310.750629ms,12
24,301.286859ms,11
25,299.159069ms,11
26,281.916212ms,11
27,287.854029ms,11
28,276.876675ms,11
29,273.455639ms,10
30,263.291009ms,10
31,260.051063ms,10
32,251.080862ms,9
33,248.902738ms,9
34,243.700657ms,9
35,242.780172ms,9
36,233.737184ms,9
37,231.77165ms,9
38,228.248292ms,9
39,226.232263ms,8
40,231.423494ms,9
41,226.455043ms,8
42,228.247039ms,9
43,219.27252ms,8
44,211.560549ms,8
45,217.408066ms,8
46,210.280827ms,8
47,209.049738ms,8
48,211.679502ms,8
49,208.279596ms,8
50,203.129133ms,8
51,203.227718ms,8
52,201.134684ms,7
53,211.129926ms,8
54,200.773994ms,7
55,211.995126ms,8
56,199.76302ms,7
57,197.609702ms,7
58,190.846249ms,7
59,191.461237ms,7
60,197.564046ms,7
61,196.338557ms,7
62,190.642124ms,7
63,210.711506ms,8
64,793.336853ms,31
65,187.230245ms,7
66,183.541666ms,7
67,184.527452ms,7
68,190.22671ms,7
69,185.714979ms,7
70,192.435391ms,7
71,184.778855ms,7
72,172.633653ms,6
73,184.594438ms,7
74,203.462756ms,8
75,183.701284ms,7
76,185.184439ms,7
77,175.558353ms,6
78,210.141048ms,8
79,179.952881ms,7
80,175.492828ms,6
81,189.431219ms,7
82,179.269624ms,7
83,179.411892ms,7
84,181.988256ms,7
85,178.06837ms,7
86,179.65575ms,7
87,174.686528ms,6
88,178.470217ms,7
89,171.574454ms,6
90,177.323987ms,7
91,176.692668ms,7
92,174.738315ms,6
93,195.038741ms,7
94,178.523627ms,7
95,174.681307ms,6
96,181.879239ms,7
97,188.266042ms,7
98,181.39167ms,7
99,178.026268ms,7
100,198.795869ms,7
101,183.413888ms,7
102,177.637626ms,7
103,184.692057ms,7
104,187.761219ms,7
105,173.485482ms,6
106,174.248901ms,6
107,176.947846ms,7
108,172.276064ms,6
109,164.798356ms,6
110,183.379082ms,7
111,186.545186ms,7
112,185.848985ms,7
113,185.049369ms,7
114,186.583017ms,7
115,164.590673ms,6
116,170.086197ms,6
117,172.494875ms,6
118,187.601626ms,7
119,178.182229ms,7
120,169.023484ms,6
121,168.047525ms,6
122,177.829534ms,7
123,181.535075ms,7
124,169.751825ms,6
125,179.464494ms,7
126,174.162405ms,6
127,177.632633ms,7
128,807.58961ms,32
Uniform
1,4.339257116s,171
2,3.105601819s,123
3,2.688742084s,106
4,2.52604716s,99
5,1.856781356s,73
6,2.194127674s,86
7,2.03502094s,80
8,1.998095982s,78
9,1.878020736s,73
10,1.897290178s,74
11,1.82606339s,71
12,1.650048812s,64
13,1.789174337s,70
14,1.836007398s,72
15,1.732784996s,68
16,1.470776878s,57
17,967.289546ms,38
18,1.802566808s,70
19,1.641498492s,64
20,1.505527118s,59
21,1.45821422s,57
22,1.399758871s,54
23,1.534820556s,60
24,1.441520583s,56
25,1.324151478s,51
26,1.404464983s,55
27,1.378815909s,54
28,1.236010507s,48
29,1.063723369s,41
30,1.187924833s,46
31,1.142621945s,44
32,1.084813048s,42
33,1.111225281s,43
34,1.045285188s,40
35,1.243168204s,48
36,1.068909976s,41
37,1.111573353s,43
38,1.122119408s,43
39,1.012789375s,39
40,1.03523213s,40
41,940.919729ms,37
42,945.515223ms,37
43,965.382187ms,38
44,988.166877ms,39
45,1.013781218s,39
46,1.043943895s,40
47,850.6637ms,33
48,916.007462ms,36
49,855.098779ms,33
50,935.700785ms,37
51,835.561792ms,33
52,830.079592ms,32
53,907.001736ms,36
54,1.003029531s,39
55,886.311656ms,35
56,814.173731ms,32
57,824.274908ms,32
58,818.675128ms,32
59,841.533165ms,33
60,886.810346ms,35
61,866.663721ms,34
62,774.596395ms,30
63,976.508179ms,38
64,814.676654ms,32
65,784.777068ms,31
66,785.653848ms,31
67,805.78563ms,32
68,830.144615ms,32
69,752.340959ms,29
70,743.189819ms,29
71,752.2688ms,29
72,690.243979ms,27
73,788.924167ms,31
74,758.251957ms,30
75,714.297917ms,28
76,704.977589ms,28
77,733.850417ms,29
78,779.667171ms,30
79,654.297215ms,25
80,685.008597ms,27
81,722.605628ms,28
82,659.791983ms,26
83,654.476589ms,26
84,738.872266ms,29
85,660.178317ms,26
86,685.574234ms,27
87,727.954687ms,28
88,692.393878ms,27
89,675.220166ms,26
90,709.46902ms,28
91,711.722304ms,28
92,698.234194ms,27
93,700.832138ms,27
94,679.680573ms,27
95,696.439259ms,27
96,698.758508ms,27
97,702.697506ms,27
98,677.904553ms,26
99,720.403897ms,28
100,682.129017ms,27
101,704.129017ms,27
102,695.93471ms,27
103,690.639956ms,27
104,653.035089ms,25
105,669.772655ms,26
106,688.375015ms,27
107,681.273317ms,27
108,714.357475ms,28
109,693.21596ms,27
110,665.24484ms,26
111,677.457094ms,26
112,679.303399ms,26
113,670.684823ms,26
114,652.627829ms,25
115,683.650955ms,27
116,687.246868ms,27
117,669.118699ms,26
118,676.071144ms,26
119,674.226547ms,26
120,664.123987ms,26
121,649.331933ms,25
122,637.676196ms,25
123,654.186766ms,25
124,646.85893ms,25
125,661.527651ms,26
126,639.652986ms,25
127,1.220776729s,47
128,621.86731ms,24
