
running 1 test
Testing lock-free map
Insert heavy
25165824 operations across 96 thread(s) in 1.952903786s; time/op = 76ns
25165824 operations across 97 thread(s) in 1.939529949s; time/op = 76ns
25165824 operations across 98 thread(s) in 1.890905798s; time/op = 74ns
25165824 operations across 99 thread(s) in 1.885138915s; time/op = 74ns
25165824 operations across 100 thread(s) in 1.929511998s; time/op = 75ns
25165824 operations across 101 thread(s) in 1.778066677s; time/op = 69ns
25165824 operations across 102 thread(s) in 1.921265978s; time/op = 75ns
25165824 operations across 103 thread(s) in 1.865386138s; time/op = 73ns
25165824 operations across 104 thread(s) in 1.896311478s; time/op = 74ns
25165824 operations across 105 thread(s) in 1.815683678s; time/op = 71ns
25165824 operations across 106 thread(s) in 1.803935666s; time/op = 70ns
25165824 operations across 107 thread(s) in 1.850282983s; time/op = 72ns
25165824 operations across 108 thread(s) in 1.798313165s; time/op = 70ns
25165824 operations across 109 thread(s) in 1.838867009s; time/op = 72ns
25165824 operations across 110 thread(s) in 1.804247215s; time/op = 70ns
25165824 operations across 111 thread(s) in 1.819787977s; time/op = 71ns
25165824 operations across 112 thread(s) in 1.738247461s; time/op = 68ns
25165824 operations across 113 thread(s) in 1.900518501s; time/op = 74ns
25165824 operations across 114 thread(s) in 1.647846564s; time/op = 64ns
25165824 operations across 115 thread(s) in 1.72145943s; time/op = 67ns
25165824 operations across 116 thread(s) in 1.750124185s; time/op = 68ns
25165824 operations across 117 thread(s) in 1.843394077s; time/op = 72ns
25165824 operations across 118 thread(s) in 1.587860439s; time/op = 62ns
25165824 operations across 119 thread(s) in 1.641321436s; time/op = 64ns
25165824 operations across 120 thread(s) in 1.783916815s; time/op = 70ns
25165824 operations across 121 thread(s) in 1.771509527s; time/op = 69ns
25165824 operations across 122 thread(s) in 1.751982678s; time/op = 68ns
25165824 operations across 123 thread(s) in 1.62795226s; time/op = 63ns
25165824 operations across 124 thread(s) in 1.705060414s; time/op = 67ns
25165824 operations across 125 thread(s) in 2.330490087s; time/op = 92ns
25165824 operations across 126 thread(s) in 1.758847066s; time/op = 69ns
25165824 operations across 127 thread(s) in 1.65748801s; time/op = 65ns
